mu,mu_built_in,mu_emp,met,nmi,nc_norm,gamma_mean,gamma_min,gamma_max
5,0.028,0.045,LP_ST,0.9082512647121195,1.7568,0,0,0
5,0.028,0.053,LP_ST,0.8930045451291054,1.9459,0,0,0
5,0.028,0.068,LP_ST,0.8813202936626648,1.973,0,0,0
5,0.028,0.051,LP_ST,0.9000250406734237,1.8108,0,0,0
5,0.028,0.062,LP_ST,0.8804775388179976,2.027,0,0,0
5,0.028,0.051,LP_ST,0.9011709799800147,1.8108,0,0,0
5,0.028,0.064,LP_ST,0.8873338411962935,1.9459,0,0,0
5,0.028,0.044,LP_ST,0.9059764963844243,1.7027,0,0,0
5,0.028,0.048,LP_ST,0.9017507783805254,1.7568,0,0,0
5,0.028,0.064,LP_ST,0.8857813521693696,1.9189,0,0,0
