mu,mu_built_in,mu_emp,met,nmi,nc_norm,gamma_mean,gamma_min,gamma_max
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.011705,0,0.007
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.011015,0,0.009
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.011015,0,0.009
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.011177,0,0.014
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.011177,0,0.014
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.013765,0,0.01
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.013765,0,0.01
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.015353,0,0.01
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.015353,0,0.01
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.009989,0,0.005
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.009989,0,0.005
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.01436,0,0.026
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.01436,0,0.026
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.011888,0,0.01
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.011888,0,0.01
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.010816,0,0.008
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.010816,0,0.008
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.01133,0,0.01
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.01133,0,0.01
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.011775,0,0.011
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.011775,0,0.011
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.011993,0,0.006
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.011993,0,0.006
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.014490000000000001,0,0.015
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.014490000000000001,0,0.015
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.011376,0,0.01
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.011376,0,0.01
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.010321,0,0.008
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.010321,0,0.008
5,0.028,0.027,LV_CCD,0.9674626939879858,1.2162,0.012803,0,0.022
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0.012803,0,0.022
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.010715,0,0.017
5,0.028,0.027,LV_consRec,0.9674626939879858,1.2162,0.010715,0,0.017
