method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
ML,0.7129,0.4066,0.5327,24,0.6486486486486487,0.184
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4031,0.5349,23,0.6216216216216216,0.187
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5256,0.4637,136,3.675675675675676,0.408
LP,0.7129,0.4715,0.4934,66,1.7837837837837838,0.333
ML,0.7129,0.4002,0.5338,23,0.6216216216216216,0.187
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4164,0.5286,24,0.6486486486486487,0.187
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5236,0.4654,136,3.675675675675676,0.4
LP,0.7129,0.4617,0.4942,63,1.7027027027027026,0.323
ML,0.7129,0.4135,0.53,25,0.6756756756756757,0.182
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4095,0.5317,24,0.6486486486486487,0.18
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5202,0.4679,131,3.5405405405405403,0.396
LP,0.7129,0.4798,0.4892,72,1.945945945945946,0.345
ML,0.7129,0.4061,0.5338,23,0.6216216216216216,0.17
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4051,0.5339,23,0.6216216216216216,0.188
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5241,0.4652,135,3.6486486486486487,0.406
LP,0.7129,0.0015,0.0088,7,0.1891891891891892,0.011
ML,0.7129,0.41,0.53,23,0.6216216216216216,0.167
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.3992,0.5345,24,0.6486486486486487,0.178
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5226,0.4666,133,3.5945945945945947,0.4
LP,0.7129,0.4941,0.4747,79,2.135135135135135,0.343
ML,0.7129,0.4017,0.5323,23,0.6216216216216216,0.172
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4095,0.5328,25,0.6756756756756757,0.186
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5226,0.4659,139,3.7567567567567566,0.406
LP,0.7129,0.4292,0.4982,54,1.4594594594594594,0.282
ML,0.7129,0.4125,0.5307,24,0.6486486486486487,0.188
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4007,0.5326,22,0.5945945945945946,0.172
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5211,0.4676,134,3.6216216216216215,0.405
LP,0.7129,0.3225,0.4527,21,0.5675675675675675,0.126
ML,0.7129,0.4095,0.533,26,0.7027027027027027,0.192
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4007,0.5337,22,0.5945945945945946,0.174
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5211,0.4668,135,3.6486486486486487,0.406
LP,0.7129,0.002,0.0098,8,0.21621621621621623,0.013
ML,0.7129,0.4071,0.5336,23,0.6216216216216216,0.18
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4071,0.5304,24,0.6486486486486487,0.2
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5216,0.4669,133,3.5945945945945947,0.401
LP,0.7129,0.4735,0.4971,61,1.6486486486486487,0.335
ML,0.7129,0.4056,0.5313,23,0.6216216216216216,0.173
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.412,0.5295,23,0.6216216216216216,0.177
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5192,0.4692,131,3.5405405405405403,0.4
LP,0.7129,0.0029,0.0108,8,0.21621621621621623,0.014
ML,0.7129,0.4145,0.529,25,0.6756756756756757,0.196
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4105,0.5288,23,0.6216216216216216,0.184
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5236,0.4657,134,3.6216216216216215,0.403
LP,0.7129,0.4666,0.4981,60,1.6216216216216217,0.339
ML,0.7129,0.4086,0.5311,25,0.6756756756756757,0.178
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4071,0.5342,24,0.6486486486486487,0.183
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5197,0.4684,133,3.5945945945945947,0.399
LP,0.7129,0.4617,0.4973,57,1.5405405405405406,0.321
ML,0.7129,0.4076,0.5337,23,0.6216216216216216,0.169
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.412,0.5316,24,0.6486486486486487,0.191
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5231,0.4658,132,3.5675675675675675,0.403
LP,0.7129,0.0054,0.0175,12,0.32432432432432434,0.021
ML,0.7129,0.414,0.5299,25,0.6756756756756757,0.197
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.412,0.5296,24,0.6486486486486487,0.196
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5246,0.4646,135,3.6486486486486487,0.399
LP,0.7129,0.4597,0.4931,64,1.7297297297297298,0.317
ML,0.7129,0.4061,0.5323,23,0.6216216216216216,0.177
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4017,0.5311,22,0.5945945945945946,0.168
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5187,0.4696,130,3.5135135135135136,0.401
LP,0.7129,0.4744,0.4883,65,1.7567567567567568,0.334
ML,0.7129,0.4169,0.5325,26,0.7027027027027027,0.186
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4046,0.5308,24,0.6486486486486487,0.189
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5241,0.4652,134,3.6216216216216215,0.401
LP,0.7129,0.4582,0.4984,57,1.5405405405405406,0.3
ML,0.7129,0.4159,0.5296,25,0.6756756756756757,0.207
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4135,0.5315,25,0.6756756756756757,0.189
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5226,0.466,133,3.5945945945945947,0.4
LP,0.7129,0.0025,0.0108,9,0.24324324324324326,0.015
ML,0.7129,0.4041,0.5315,22,0.5945945945945946,0.169
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4012,0.5336,22,0.5945945945945946,0.169
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.528,0.4616,137,3.7027027027027026,0.4
LP,0.7129,0.444,0.4915,66,1.7837837837837838,0.317
ML,0.7129,0.4105,0.5299,24,0.6486486486486487,0.195
