q3;q5;qualifica_codice;qualifica;professional_group;PG
2.6.2;2.6.2.1;2.6.2.1.1.4;RICERCATORE UNIVERSITARIO NELLE SCIENZE MATEMATICHE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.1.5;TECNICO LAUREATO NELLE SCIENZE DELL’INFORMAZIONE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.1.6;TECNICO LAUREATO NELLE SCIENZE MATEMATICHE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.2.0;RICERCATORI E TECNICI LAUREATI NELLE SCIENZE FISICHE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.2.1;ASSEGNISTA DI RICERCA NELLE SCIENZE FISICHE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.2.2;RICERCATORE UNIVERSITARIO NELLE SCIENZE FISICHE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.2.3;TECNICO LAUREATO NELLE SCIENZE FISICHE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.3.0;RICERCATORI E TECNICI LAUREATI NELLE SCIENZE CHIMICHE E FARMACEUTICHE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.3.1;ASSEGNISTA DI RICERCA NELLE SCIENZE CHIMICHE E FARMACEUTICHE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.3.2;RICERCATORE UNIVERSITARIO NELLE SCIENZE CHIMICHE E FARMACEUTICHE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.3.3;TECNICO LAUREATO NELLE SCIENZE CHIMICHE E FARMACEUTICHE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.4.0;RICERCATORI E TECNICI LAUREATI NELLE SCIENZE DELLA TERRA;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.4.1;ASSEGNISTA DI RICERCA NELLE SCIENZE DELLA TERRA;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.4.2;RICERCATORE UNIVERSITARIO NELLE SCIENZE DELLA TERRA;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.4.3;TECNICO LAUREATO NELLE SCIENZE DELLA TERRA;university, research;UNI
2.6.2;2.6.2.3;2.6.2.3.1.0;RICERCATORI E TECNICI LAUREATI NELLE SCIENZE INGEGNERISTICHE CIVILI E DELL’ARCHITETTURA;university, research;UNI
2.6.2;2.6.2.3;2.6.2.3.1.1;ASSEGNISTA DI RICERCA NELLE SCIENZE DELL’ARCHITETTURA;university, research;UNI
2.6.2;2.6.2.3;2.6.2.3.1.2;ASSEGNISTA DI RICERCA NELLE SCIENZE INGEGNERISTICHE CIVILI;university, research;UNI
2.6.2;2.6.2.3;2.6.2.3.1.3;RICERCATORE UNIVERSITARIO NELLE SCIENZE INGEGNERISTICHE CIVILI E DELL’ARCHITETTURA;university, research;UNI
2.6.2;2.6.2.3;2.6.2.3.1.4;RICERCATORE UNIVERSITARIO NELLE SCIENZE INGEGNERISTICHE E DELL’ARCHITETTURA;university, research;UNI
2.6.2;2.6.2.3;2.6.2.3.1.5;TECNICO LAUREATO NELLE SCIENZE INGEGNERISTICHE CIVILI E DELL’ARCHITETTURA;university, research;UNI
2.6.2;2.6.2.3;2.6.2.3.1.6;TECNICO LAUREATO NELLE SCIENZE INGEGNERISTICHE E DELL’ARCHITETTURA;university, research;UNI
2.6.2;2.6.2.3;2.6.2.3.2.0;RICERCATORI E TECNICI LAUREATI NELLE SCIENZE INGEGNERISTICHE INDUSTRIALI E DELL’INFORMAZIONE;university, research;UNI
2.6.2;2.6.2.3;2.6.2.3.2.1;RICERCATORE UNIVERSITARIO IN INGEGNERIA DELL'INFORMAZIONE;university, research;UNI
2.6.2;2.6.2.6;2.6.2.6.0.0;RICERCATORI E TECNICI LAUREATI NELLE SCIENZE ECONOMICHE E STATISTICHE;university, research;UNI
2.6.2;2.6.2.6;2.6.2.6.0.1;ASSEGNISTA DI RICERCA NELLE SCIENZE ECONOMICHE;university, research;UNI
2.6.2;2.6.2.6;2.6.2.6.0.2;ASSEGNISTA DI RICERCA NELLE SCIENZE STATISTICHE;university, research;UNI
2.6.2;2.6.2.6;2.6.2.6.0.3;RICERCATORE UNIVERSITARIO NELLE SCIENZE ECONOMICHE;university, research;UNI
2.6.2;2.6.2.6;2.6.2.6.0.4;RICERCATORE UNIVERSITARIO NELLE SCIENZE STATISTICHE;university, research;UNI
2.6.2;2.6.2.6;2.6.2.6.0.5;TECNICO LAUREATO NELLE SCIENZE ECONOMICHE;university, research;UNI
2.6.2;2.6.2.6;2.6.2.6.0.6;TECNICO LAUREATO NELLE SCIENZE STATISTICHE;university, research;UNI
