sede_op_ateco;NACE;NACE_group;Colonna1
27.51.00;27;MAN;
27.90.09;27;MAN;
27.40.01;27;MAN;
27.40.01;27;MAN;
27.40.09;27;MAN;
27.12.00;27;MAN;
27.90.02;27;MAN;
27.90.09;27;MAN;
27.51.00;27;MAN;
27.51.00;27;MAN;
27.40.09;27;MAN;
27.90.09;27;MAN;
27.90.09;27;MAN;
27.90.09;27;MAN;
27.90.09;27;MAN;
27.11.00;27;MAN;
27.40.01;27;MAN;
27.90.09;27;MAN;
27.12.00;27;MAN;
27.40.01;27;MAN;
27.40.01;27;MAN;
27.51.00;27;MAN;
28.22.09;28;MAN;
28.14.00;28;MAN;
28.21.10;28;MAN;
28.94.10;28;MAN;
28.96.00;28;MAN;
28.25.00;28;MAN;
28.93.00;28;MAN;
28.29.99;28;MAN;
28.49.09;28;MAN;
28.11.11;28;MAN;
28.94.10;28;MAN;
28.91.00;28;MAN;
28.62.B;28;MAN;
28.25.00;28;MAN;
28.22.09;28;MAN;
28.75.5;28;MAN;
28.91.00;28;MAN;
28.29.99;28;MAN;
28.41.00;28;MAN;
28.25.00;28;MAN;
28.25.00;28;MAN;
28.93.00;28;MAN;
28.49.09;28;MAN;
28.91.00;28;MAN;
28.91.00;28;MAN;
28.91.00;28;MAN;
28.11.0;28;MAN;
28.25.00;28;MAN;
28.25.00;28;MAN;
28.30.90;28;MAN;
28.91.00;28;MAN;
28.11.0;28;MAN;
28.25.00;28;MAN;
28.11.11;28;MAN;
28.25.00;28;MAN;
28.92.09;28;MAN;
28.29.99;28;MAN;
28.29.99;28;MAN;
28.29.20;28;MAN;
28.29.99;28;MAN;
28.29.99;28;MAN;
28.22.09;28;MAN;
28.30.90;28;MAN;
28.25.00;28;MAN;
28.49.09;28;MAN;
28.15.10;28;MAN;
28.75.5;28;MAN;
28.29.99;28;MAN;
28.49.09;28;MAN;
28.29.99;28;MAN;
28.41.00;28;MAN;
28.91.00;28;MAN;
28.99.20;28;MAN;
28.49.09;28;MAN;
28.25.00;28;MAN;
28.11.11;28;MAN;
28.75.5;28;MAN;
28.29.99;28;MAN;
28.29.99;28;MAN;
28.21.10;28;MAN;
28.52.0;28;MAN;
28.22.01;28;MAN;
28.25.00;28;MAN;
28.49.01;28;MAN;
28.21.10;28;MAN;
28.25.00;28;MAN;
28.12.2;28;MAN;
