mu,met,j,nmi,nc_norm
15,LV_inc05_ST,0,0.858,1.1081
15,LV_inc05_ST,0,0.871,1.1622
15,LV_inc05_ST,0,0.852,1.1081
15,LV_inc05_ST,0,0.862,1.1351
15,LV_inc05_ST,0,0.852,1.1081
15,LV_inc05_ST,0,0.847,1.1081
15,LV_inc05_ST,0,0.855,1.1351
15,LV_inc05_ST,0,0.875,1.1622
15,LV_inc05_ST,0,0.863,1.1351
15,LV_inc05_ST,0,0.884,1.1892
15,LV_inc05_ST,0,0.855,1.1351
15,LV_inc05_ST,0,0.866,1.1622
15,LV_inc05_ST,0,0.853,1.1081
15,LV_inc05_ST,0,0.849,1.1081
15,LV_cons_gamma_LIM,0,0.884,1.2162
15,LV_cons_LF,1,0.875,1.2432
15,LV_cons_LF,2,0.875,1.2432
20,LV_inc05_ST,0,0.759,0.9459
20,LV_inc05_ST,0,0.77,0.973
20,LV_inc05_ST,0,0.766,1
20,LV_inc05_ST,0,0.779,1
20,LV_inc05_ST,0,0.773,0.973
20,LV_inc05_ST,0,0.76,0.973
20,LV_inc05_ST,0,0.774,0.973
20,LV_inc05_ST,0,0.753,0.9459
20,LV_inc05_ST,0,0.746,0.9189
20,LV_inc05_ST,0,0.748,0.9459
20,LV_inc05_ST,0,0.741,0.8919
20,LV_inc05_ST,0,0.782,1
20,LV_inc05_ST,0,0.745,0.9189
20,LV_inc05_ST,0,0.77,0.973
20,LV_inc05_ST,0,0.745,0.9189
20,LV_inc05_ST,0,0.733,0.8919
20,LV_inc05_ST,0,0.762,0.9459
20,LV_inc05_ST,0,0.738,0.8919
20,LV_inc05_ST,0,0.738,0.9189
20,LV_inc05_ST,0,0.772,0.973
20,LV_inc05_ST,0,0.748,0.9459
20,LV_inc05_ST,0,0.748,0.9189
20,LV_inc05_ST,0,0.768,0.973
20,LV_inc05_ST,0,0.743,0.9189
20,LV_inc05_ST,0,0.75,0.9459
20,LV_inc05_ST,0,0.729,0.8919
20,LV_inc05_ST,0,0.742,0.9459
20,LV_inc05_ST,0,0.755,0.9459
20,LV_inc05_ST,0,0.73,0.9189
20,LV_inc05_ST,0,0.766,0.973
20,LV_inc05_ST,0,0.756,1
20,LV_inc05_ST,0,0.761,0.973
20,LV_inc05_ST,0,0.761,0.973
20,LV_inc05_ST,0,0.757,0.9459
20,LV_inc05_ST,0,0.758,0.9459
20,LV_inc05_ST,0,0.776,1
20,LV_inc05_ST,0,0.785,1
20,LV_inc05_ST,0,0.754,0.9459
20,LV_inc05_ST,0,0.762,1
20,LV_inc05_ST,0,0.757,0.973
20,LV_inc05_ST,0,0.781,1
20,LV_inc05_ST,0,0.763,0.973
