mm1,mm2,met1,met2,nmi_m1_m2
LP,ML,2,3,0.9051681709544867
LP,ML,2,3,0.9051681709544867
LP,ML,2,3,0.9051681709544867
LP,ML,2,3,0.9051681709544867
LP,ML,2,3,0.9051681709544867
LP,ML,2,3,0.9287364970199852
LP,ML,2,3,0.8815998448889878
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.8813332852048585
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.928749199727615
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.9520382634013551
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.928749199727615
LP,ML,2,3,0.9758858518586128
LP,ML,2,3,0.9523175257931139
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.8813332852048585
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.9049016112703574
LP,ML,2,3,0.9051681709544867
LP,ML,2,3,0.9051681709544867
LP,ML,2,3,0.8815998448889878
LP,ML,2,3,0.9287364970199852
LP,ML,2,3,0.9051681709544867
LP,ML,2,3,0.8580315188234886
LP,ML,2,3,0.9054474333462454
LP,ML,2,3,0.976152411542742
LP,ML,2,3,0.9290157594117443
LP,ML,2,3,0.9287364970199852
LP,ML,2,3,0.952304823085484
LP,ML,2,3,0.9051681709544863
LP,ML,2,3,0.9528633478690023
LP,ML,2,3,0.9292950218035034
LP,ML,2,3,0.9525840854772432
LP,WT,2,4,0.9073517354625088
LP,WT,2,4,0.9073517354625088
LP,WT,2,4,0.9073517354625088
LP,WT,2,4,0.9073517354625088
LP,WT,2,4,0.9073517354625088
LP,WT,2,4,0.9073517354625088
LP,WT,2,4,0.9073517354625088
LP,WT,2,4,0.9073517354625088
LP,WT,2,4,0.9073517354625088
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9070913134883805
LP,WT,2,4,0.9301169635259241
LP,WT,2,4,0.9301169635259241
LP,WT,2,4,0.9301169635259241
