mu,mu_built_in,mu_emp,met,j,nmi,nc_norm
5,0.028,0.06,LP_ST,1,0.89,2
5,0.028,0.05,LP_ST,1,0.898,1.973
5,0.028,0.05,LP_ST,1,0.906,1.8919
5,0.028,0.061,LP_ST,1,0.888,2.0811
5,0.028,0.066,LP_ST,1,0.888,2.027
5,0.028,0.049,LP_ST,1,0.902,1.8919
5,0.028,0.052,LP_ST,1,0.895,1.973
5,0.028,0.061,LP_ST,1,0.889,2.1081
5,0.028,0.053,LP_ST,1,0.91,1.8378
5,0.028,0.064,LP_ST,1,0.886,2.027
5,0.028,0.063,LP_ST,1,0.88,2.1081
5,0.028,0.049,LP_ST,1,0.9,1.8919
5,0.028,0.053,LP_ST,1,0.9,2.027
5,0.028,0.059,LP_ST,1,0.894,2.0541
5,0.028,0.059,LP_ST,1,0.889,2.0541
5,0.028,0.056,LP_ST,1,0.89,2.027
5,0.028,0.055,LP_ST,1,0.895,1.9189
5,0.028,0.056,LP_ST,1,0.891,1.9459
5,0.028,0.052,LP_ST,1,0.896,1.9459
5,0.028,0.056,LP_ST,1,0.899,2
5,0.028,0.052,LP_ST,1,0.9,1.8919
5,0.028,0.055,LP_ST,1,0.895,2.027
5,0.028,0.055,LP_ST,1,0.9,1.9459
5,0.028,0.059,LP_ST,1,0.886,2.0811
5,0.028,0.056,LP_ST,1,0.894,2
5,0.028,0.074,LP_ST,1,0.876,2.1351
5,0.028,0.076,LP_ST,1,0.88,2.1081
5,0.028,0.049,LP_ST,1,0.9,1.8919
5,0.028,0.04173,LP_cons0.2,1,0.913,1.7027
5,0.028,0.058524,LP_cons0.5,1,0.888,2.1892
5,0.028,0.102799,LP_cons0.8,1,0.836,3.6216
5,0.028,0.004333,LP_consLF,1,0.887,2.4595
5,0.028,0.044,IM_ST,1,0.911,2
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.908,2.0541
5,0.028,0.045,IM_ST,1,0.909,2.027
5,0.028,0.044,IM_ST,1,0.911,2
